reviewText,overall
"Poor build quality, broke after a week.",4
"Love this product, best I've bought.",5
"Awful, completely useless.",3
This product is amazing! I love it.,2
"Terrible quality, very disappointed.",2
"Great value for money, highly recommend.",3
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,4
"Bad experience, will not return.",3
"Fantastic item, exceeded expectations.",2
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",5
"Awful, completely useless.",3
This product is amazing! I love it.,5
"Terrible quality, very disappointed.",4
"Great value for money, highly recommend.",2
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,4
"Bad experience, will not return.",5
"Fantastic item, exceeded expectations.",5
"Poor build quality, broke after a week.",1
"Love this product, best I've bought.",1
"Awful, completely useless.",5
This product is amazing! I love it.,3
"Terrible quality, very disappointed.",2
"Great value for money, highly recommend.",1
"Worst purchase ever, do not buy.",1
Excellent service and fast delivery.,5
"Bad experience, will not return.",2
"Fantastic item, exceeded expectations.",4
"Poor build quality, broke after a week.",4
"Love this product, best I've bought.",4
"Awful, completely useless.",1
This product is amazing! I love it.,5
"Terrible quality, very disappointed.",1
"Great value for money, highly recommend.",5
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,4
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",4
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",5
"Awful, completely useless.",5
This product is amazing! I love it.,3
"Terrible quality, very disappointed.",4
"Great value for money, highly recommend.",5
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,4
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",3
"Poor build quality, broke after a week.",5
"Love this product, best I've bought.",2
"Awful, completely useless.",4
This product is amazing! I love it.,3
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",4
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,1
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",1
"Poor build quality, broke after a week.",2
"Love this product, best I've bought.",4
"Awful, completely useless.",4
This product is amazing! I love it.,3
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",1
"Worst purchase ever, do not buy.",3
Excellent service and fast delivery.,5
"Bad experience, will not return.",5
"Fantastic item, exceeded expectations.",3
"Poor build quality, broke after a week.",4
"Love this product, best I've bought.",5
"Awful, completely useless.",1
This product is amazing! I love it.,5
"Terrible quality, very disappointed.",5
"Great value for money, highly recommend.",1
"Worst purchase ever, do not buy.",2
Excellent service and fast delivery.,5
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",1
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",4
"Awful, completely useless.",4
This product is amazing! I love it.,5
"Terrible quality, very disappointed.",5
"Great value for money, highly recommend.",3
"Worst purchase ever, do not buy.",4
Excellent service and fast delivery.,4
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",2
"Poor build quality, broke after a week.",5
"Love this product, best I've bought.",5
"Awful, completely useless.",4
This product is amazing! I love it.,4
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",4
"Worst purchase ever, do not buy.",4
Excellent service and fast delivery.,4
"Bad experience, will not return.",5
"Fantastic item, exceeded expectations.",4
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",5
"Awful, completely useless.",2
This product is amazing! I love it.,3
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",4
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,4
"Bad experience, will not return.",5
"Fantastic item, exceeded expectations.",4
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",5
"Awful, completely useless.",3
This product is amazing! I love it.,3
"Terrible quality, very disappointed.",4
"Great value for money, highly recommend.",3
"Worst purchase ever, do not buy.",1
Excellent service and fast delivery.,4
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",4
"Poor build quality, broke after a week.",5
"Love this product, best I've bought.",4
"Awful, completely useless.",5
This product is amazing! I love it.,2
"Terrible quality, very disappointed.",4
"Great value for money, highly recommend.",5
"Worst purchase ever, do not buy.",4
Excellent service and fast delivery.,5
"Bad experience, will not return.",3
"Fantastic item, exceeded expectations.",1
"Poor build quality, broke after a week.",4
"Love this product, best I've bought.",3
"Awful, completely useless.",5
This product is amazing! I love it.,3
"Terrible quality, very disappointed.",5
"Great value for money, highly recommend.",5
"Worst purchase ever, do not buy.",3
Excellent service and fast delivery.,3
"Bad experience, will not return.",5
"Fantastic item, exceeded expectations.",5
"Poor build quality, broke after a week.",4
"Love this product, best I've bought.",3
"Awful, completely useless.",4
This product is amazing! I love it.,4
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",5
"Worst purchase ever, do not buy.",1
Excellent service and fast delivery.,1
"Bad experience, will not return.",3
"Fantastic item, exceeded expectations.",3
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",4
"Awful, completely useless.",3
This product is amazing! I love it.,2
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",5
"Worst purchase ever, do not buy.",4
Excellent service and fast delivery.,4
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",5
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",4
"Awful, completely useless.",5
This product is amazing! I love it.,4
"Terrible quality, very disappointed.",1
"Great value for money, highly recommend.",4
"Worst purchase ever, do not buy.",1
Excellent service and fast delivery.,4
"Bad experience, will not return.",5
"Fantastic item, exceeded expectations.",3
"Poor build quality, broke after a week.",5
"Love this product, best I've bought.",1
"Awful, completely useless.",5
This product is amazing! I love it.,4
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",2
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,1
"Bad experience, will not return.",2
"Fantastic item, exceeded expectations.",3
"Poor build quality, broke after a week.",4
"Love this product, best I've bought.",4
"Awful, completely useless.",2
This product is amazing! I love it.,3
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",3
"Worst purchase ever, do not buy.",4
Excellent service and fast delivery.,5
"Bad experience, will not return.",3
"Fantastic item, exceeded expectations.",3
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",5
"Awful, completely useless.",5
This product is amazing! I love it.,5
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",1
"Worst purchase ever, do not buy.",3
Excellent service and fast delivery.,3
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",5
"Poor build quality, broke after a week.",5
"Love this product, best I've bought.",5
"Awful, completely useless.",3
This product is amazing! I love it.,4
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",1
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,1
"Bad experience, will not return.",4
"Fantastic item, exceeded expectations.",3
"Poor build quality, broke after a week.",4
"Love this product, best I've bought.",5
"Awful, completely useless.",3
This product is amazing! I love it.,5
"Terrible quality, very disappointed.",3
"Great value for money, highly recommend.",4
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,4
"Bad experience, will not return.",5
"Fantastic item, exceeded expectations.",3
"Poor build quality, broke after a week.",4
"Love this product, best I've bought.",4
"Awful, completely useless.",5
This product is amazing! I love it.,2
"Terrible quality, very disappointed.",5
"Great value for money, highly recommend.",4
"Worst purchase ever, do not buy.",3
Excellent service and fast delivery.,4
"Bad experience, will not return.",3
"Fantastic item, exceeded expectations.",4
"Poor build quality, broke after a week.",5
"Love this product, best I've bought.",4
"Awful, completely useless.",4
This product is amazing! I love it.,4
"Terrible quality, very disappointed.",1
"Great value for money, highly recommend.",3
"Worst purchase ever, do not buy.",4
Excellent service and fast delivery.,3
"Bad experience, will not return.",2
"Fantastic item, exceeded expectations.",4
"Poor build quality, broke after a week.",3
"Love this product, best I've bought.",3
"Awful, completely useless.",4
This product is amazing! I love it.,2
"Terrible quality, very disappointed.",5
"Great value for money, highly recommend.",5
"Worst purchase ever, do not buy.",5
Excellent service and fast delivery.,2
"Bad experience, will not return.",5
"Fantastic item, exceeded expectations.",5
"Poor build quality, broke after a week.",5
"Love this product, best I've bought.",2
